z,theta_deg,n_distinct,pitch_um,span_um,counted_over_expected
16,0.0,148,280.8,32987.520000000004,1.2491884170886898
16,6.0,116,354.24,30015.36,1.353058321479374
16,12.0,118,285.12,27380.160000000003,1.2161149281698937
16,18.0,103,216.0,26913.600000000002,0.8200636942675159
16,24.0,85,250.56,25531.2,0.8260723860589811
16,30.0,109,328.32000000000005,24693.120000000003,1.4302486187845302
16,36.0,129,246.24,24952.320000000003,1.2605863192182412
16,42.0,121,354.24,25315.2,1.6698081454055873
16,48.0,125,371.52000000000004,25911.36,1.7669296515450361
16,54.0,122,453.6,25401.600000000002,2.1403508771929824
16,60.0,120,423.36,25436.160000000003,1.9645840294019377
16,66.0,116,267.84000000000003,25712.640000000003,1.1958762886597938
16,72.0,126,397.44000000000005,25539.84,1.9307128580946036
16,78.0,135,345.6,25332.480000000003,1.8169582772543742
16,84.0,120,315.36,25323.84,1.475989890480202
16,90.0,124,475.20000000000005,25272.0,2.2885906040268456
16,96.0,122,449.28000000000003,25833.600000000002,2.0854700854700856
16,102.0,127,552.96,24503.04,2.802758620689655
16,108.0,137,496.8,25842.24,2.5840577333114645
16,114.0,131,509.76000000000005,25816.320000000003,2.5365933705283887
16,120.0,141,406.08000000000004,25945.920000000002,2.172786885245902
16,126.0,130,492.48,25246.08,2.487411883182276
16,132.0,142,691.2,23664.960000000003,4.029797800638525
16,138.0,124,527.0400000000001,24278.4,2.634622082897945
16,144.0,116,319.68,21755.52,1.679843444227006
16,150.0,130,544.32,23803.2,2.9063165365507455
16,156.0,116,565.9200000000001,23906.88,2.6824360105913505
16,162.0,137,820.8000000000001,25211.52,4.319615001659476
16,168.0,128,527.0400000000001,24753.600000000002,2.6684894053315107
16,174.0,153,622.08,27146.88,3.427504667081519
16,180.0,158,838.08,32244.480000000003,4.002611647949856
16,186.0,148,414.72,32382.72,1.8714436248682824
16,192.0,138,544.32,29790.72,2.476217601822843
16,198.0,134,336.96000000000004,28451.52,1.5684273709483794
16,204.0,117,371.52000000000004,27216.0,1.575634199812089
16,210.0,104,345.6,28036.800000000003,1.2663622526636225
16,216.0,103,328.32000000000005,27311.04,1.2235073460456392
16,222.0,107,250.56,27665.280000000002,0.9603837821108017
16,228.0,94,285.12,27285.120000000003,0.9721090567220306
16,234.0,83,216.0,27051.84,0.6574778200253486
16,240.0,91,259.20000000000005,27095.04,0.8622867972204675
16,246.0,95,250.56,27276.480000000003,0.8647206528562461
16,252.0,91,311.04,27423.36,1.0205607476635514
16,258.0,85,276.48,27259.2,0.8534672105428303
16,264.0,84,194.4,27838.08,0.5825242718446603
16,270.0,103,250.56,27699.84,0.923338485316847
16,276.0,83,254.88000000000002,27535.68,0.761231151873154
16,282.0,103,211.68,27043.2,0.7999682992550325
16,288.0,95,254.88000000000002,26982.72,0.8889770023790643
16,294.0,103,259.20000000000005,27362.88,0.9665311229277448
16,300.0,94,216.0,27241.920000000002,0.7394587791063562
16,306.0,104,259.20000000000005,27570.24,0.9686432784849426
16,312.0,113,207.36,27025.920000000002,0.8604060913705583
16,318.0,122,250.56,27432.0,1.1042446941323347
16,324.0,127,302.40000000000003,27440.640000000003,1.3843039551541576
16,330.0,122,311.04,27622.08,1.3584905660377358
16,336.0,113,263.52000000000004,27829.440000000002,1.0599723204674765
16,342.0,114,414.72,28641.600000000002,1.6271186440677967
16,348.0,116,328.32000000000005,28866.24,1.3045279668540988
16,354.0,143,354.24,32978.880000000005,1.519699326075687
48,0.0,87,393.12,31803.840000000004,1.0622568093385214
48,6.0,115,319.68,30542.4,1.1912094064949608
48,12.0,110,276.48,28909.440000000002,1.0420367081113084
48,18.0,96,259.20000000000005,27138.24,0.9082308420056764
48,24.0,92,285.12,26144.640000000003,0.9924812030075187
48,30.0,83,267.84000000000003,25833.600000000002,0.8517047335319431
48,36.0,76,224.64000000000001,25375.68,0.6668916638542018
48,42.0,74,241.92000000000002,25773.120000000003,0.6881434739289273
48,48.0,78,241.92000000000002,26196.480000000003,0.7137254901960783
48,54.0,87,207.36,26153.280000000002,0.6843657817109144
48,60.0,99,254.88000000000002,26386.56,0.9471379925409437
48,66.0,107,181.44,26758.08,0.7206542655548428
48,72.0,110,185.76000000000002,26991.36,0.7518677475759021
48,78.0,109,190.08,27423.36,0.7503128911138923
48,84.0,107,185.76000000000002,27518.4,0.7174489318571652
48,90.0,109,198.72000000000003,27812.160000000003,0.7732880937692782
48,96.0,98,216.0,27708.480000000003,0.7580445544554455
48,102.0,86,203.04000000000002,27397.440000000002,0.6326498669588355
48,108.0,109,194.4,27172.800000000003,0.7742699289660616
48,114.0,97,224.64000000000001,27216.0,0.794080604534005
48,120.0,104,185.76000000000002,26844.480000000003,0.7147195141441586
48,126.0,100,216.0,26326.08,0.8138020833333334
48,132.0,96,190.08,25660.800000000003,0.7058823529411765
48,138.0,83,276.48,24840.0,0.913656690746474
48,144.0,75,254.88000000000002,24632.640000000003,0.7680958166984898
48,150.0,87,224.64000000000001,24511.68,0.7900803353126091
48,156.0,83,250.56,24667.2,0.8346047156726768
48,162.0,88,250.56,25557.120000000003,0.8543689320388349
48,168.0,86,250.56,27025.920000000002,0.7899904973075705
48,174.0,89,237.60000000000002,30464.640000000003,0.6887575629660898
48,180.0,100,302.40000000000003,32520.960000000003,0.9212950776520137
48,186.0,92,241.92000000000002,29998.08,0.736
48,192.0,95,259.20000000000005,28883.52,0.8449451526830715
48,198.0,76,250.56,27665.280000000002,0.6821417517796349
48,204.0,67,259.20000000000005,26688.960000000003,0.6444373196537352
48,210.0,79,241.92000000000002,26265.600000000002,0.7209908735332464
48,216.0,83,254.88000000000002,26101.440000000002,0.802655302409441
48,222.0,64,285.12,25678.08,0.702828618968386
48,228.0,64,241.92000000000002,25358.4,0.6047924400944988
48,234.0,70,233.28000000000003,25125.120000000003,0.6439522998296422
48,240.0,63,241.92000000000002,24814.08,0.6082758620689656
48,246.0,71,233.28000000000003,24943.68,0.6578586135895677
48,252.0,67,224.64000000000001,24857.280000000002,0.6000688942473303
48,258.0,57,224.64000000000001,25202.88,0.5035677879714577
48,264.0,66,220.32000000000002,25159.68,0.5729361702127659
48,270.0,75,241.92000000000002,24952.320000000003,0.720164609053498
48,276.0,72,194.4,24546.24,0.5657412257726558
48,282.0,80,198.72000000000003,24684.480000000003,0.6388888888888888
48,288.0,66,241.92000000000002,24727.68,0.639446366782007
48,294.0,69,293.76,24805.440000000002,0.8075731497418245
48,300.0,77,267.84000000000003,24546.24,0.8311281337047354
48,306.0,63,224.64000000000001,24537.600000000002,0.5715282623866016
48,312.0,71,388.8,24909.120000000003,1.091188524590164
48,318.0,75,203.04000000000002,24865.920000000002,0.6074444252972601
48,324.0,77,336.96000000000004,25539.84,1.0026711185308848
48,330.0,74,397.44000000000005,25859.52,1.1201052977953274
48,336.0,64,315.36,26274.24,0.7590576766856214
48,342.0,71,293.76,26326.08,0.783511846802986
48,348.0,69,311.04,27216.0,0.7796610169491526
48,354.0,99,311.04,27656.640000000003,1.1010194624652456
80,0.0,5,241.92000000000002,8786.880000000001,0.1339712918660287
80,6.0,5,267.84000000000003,8838.720000000001,0.14705882352941177
80,12.0,20,267.84000000000003,13590.720000000001,0.3865336658354115
80,18.0,24,302.40000000000003,19776.960000000003,0.36144578313253006
80,24.0,6,272.16,6471.360000000001,0.242152466367713
80,30.0,0,nan,nan,nan
80,36.0,0,nan,nan,nan
80,42.0,0,nan,nan,nan
80,48.0,4,181.44,2099.52,0.3181818181818182
80,54.0,6,302.40000000000003,3248.6400000000003,0.5109489051094891
80,60.0,9,155.52,3300.48,0.405
80,66.0,9,164.16000000000003,2306.88,0.5979020979020979
80,72.0,3,371.52000000000004,1555.2,0.57847533632287
80,78.0,0,nan,nan,nan
80,84.0,0,nan,nan,nan
80,90.0,0,nan,nan,nan
