slab_z0,z_local,z_abs_l1,theta_deg,r_before,r_after,step_vox
1344,80,1424,1.5,1034.0,1022.0,12.0
1344,80,1424,339.5,1087.0,1071.0,16.0
1344,112,1456,335.0,1096.0,1087.0,9.0
1344,144,1488,290.5,836.0,824.0,12.0
1344,176,1520,336.5,1104.0,1095.0,9.0
1792,48,1840,77.0,585.0,570.0,15.0
1792,48,1840,78.0,584.0,568.0,16.0
1792,48,1840,93.5,570.0,564.0,6.0
1792,80,1872,80.5,552.0,536.0,16.0
1792,112,1904,81.0,530.0,518.0,12.0
2240,48,2288,266.0,471.0,459.0,12.0
3584,48,3632,99.0,814.0,803.0,11.0
3584,144,3728,102.5,820.0,810.0,10.0
4032,48,4080,277.5,809.0,803.0,6.0
4480,208,4688,113.5,721.0,712.0,9.0
4480,240,4720,276.5,686.0,677.0,9.0
4928,16,4944,262.0,618.0,611.0,7.0
4928,144,5072,187.0,1073.0,1066.0,7.0
4928,144,5072,188.5,1072.0,1066.0,6.0
4928,208,5136,127.0,656.0,647.0,9.0
5376,48,5424,105.5,556.0,540.0,16.0
5376,112,5488,106.0,548.0,532.0,16.0
5376,144,5520,106.0,547.0,535.0,12.0
5376,208,5584,106.5,547.0,535.0,12.0
5824,16,5840,105.5,538.0,525.0,13.0
5824,48,5872,106.0,545.0,536.0,9.0
5824,80,5904,106.0,541.0,533.0,8.0
6272,208,6480,273.0,533.0,525.0,8.0
7168,48,7216,278.5,557.0,551.0,6.0
7168,176,7344,124.0,574.0,560.0,14.0
7168,176,7344,269.5,554.0,545.0,9.0
7168,176,7344,270.5,553.0,544.0,9.0
7168,176,7344,272.0,552.0,545.0,7.0
7168,176,7344,278.0,550.0,544.0,6.0
7168,208,7376,270.0,532.0,524.0,8.0
7168,208,7376,278.0,532.0,519.0,13.0
7168,240,7408,272.0,529.0,518.0,11.0
8064,48,8112,258.5,505.0,496.0,9.0
8064,208,8272,78.5,439.0,430.0,9.0
8064,208,8272,269.5,497.0,491.0,6.0
8064,208,8272,271.0,491.0,481.0,10.0
