slab,tile,gz,gy,gx,local_id,global_id,thickness_vox,tile_median_vox,ratio,n_ids_in_run,kind
z4480,tile_y1344_x1792,4572,1651,2005,527,294677,24.5,2.5,9.8,1,fused
z4480,tile_y1344_x1792,4570,1519,2222,322,266659,24.5,2.5,9.8,2,split
z4480,tile_y1344_x1792,4598,1736,2078,584,294708,24.5,2.5,9.8,1,fused
z6720,tile_y1344_x1792,6930,1739,1852,214,371110,24.5,2.5,9.8,1,fused
z6720,tile_y1344_x1792,6935,1710,2034,241,371124,24.5,2.5,9.8,2,split
z6720,tile_y1344_x1792,6857,1833,2163,539,223883,24.5,2.5,9.8,1,fused
z6720,tile_y1344_x1792,6932,1797,2047,89,223883,24.5,2.5,9.8,1,fused
z6720,tile_y1792_x1344,6837,2079,1461,765,372046,24.5,2.5,9.8,3,split
z6720,tile_y1792_x1344,6935,2050,1719,28,365563,24.5,2.5,9.8,1,fused
z6720,tile_y1792_x1344,6795,2278,1369,73,223883,24.5,2.5,9.8,1,fused
z6720,tile_y1792_x1344,6858,1949,1741,314,373462,24.5,2.5,9.8,1,fused
z6720,tile_y1792_x1344,6777,2110,1472,136,223883,24.5,2.5,9.8,2,split
z6720,tile_y1792_x1344,6806,1987,1584,181,365945,24.5,2.5,9.8,2,split
z4480,tile_y1344_x1792,4574,1736,2050,557,294694,24.0,2.5,9.6,2,split
z6720,tile_y1344_x1792,6741,1664,1939,76,364264,24.0,2.5,9.6,1,fused
z6720,tile_y1344_x1792,6820,1750,2213,110,223883,24.0,2.5,9.6,1,fused
z6720,tile_y1792_x1344,6947,2040,1830,543,373548,24.0,2.5,9.6,2,split
z6720,tile_y1792_x1344,6873,2080,1471,848,373693,24.0,2.5,9.6,2,split
z4480,tile_y1344_x1792,4568,1708,1829,452,223883,23.5,2.5,9.4,1,fused
z4480,tile_y1344_x1792,4633,1829,2027,249,223883,22.5,2.5,9.0,2,split
z4480,tile_y1344_x1792,4658,1445,1965,602,293671,22.5,2.5,9.0,1,fused
z6720,tile_y1792_x1344,6821,2241,1446,118,364829,22.5,2.5,9.0,1,fused
