population,crop_z,crop_y,crop_x,mega_id,mega_vox,mega_frac,n_flagged_sites,n_tier1_sites,crop_mask_vox,crop_n_megas
site,0,512,0,3,10677,0.0766,1,1,139371,6
site,0,512,0,4,19679,0.1412,0,0,139371,6
site,0,512,0,10,33077,0.2373,0,0,139371,6
site,0,512,0,12,12949,0.0929,0,0,139371,6
site,0,512,0,13,17457,0.1253,0,0,139371,6
site,0,512,0,15,7200,0.0517,0,0,139371,6
site,0,512,2560,1,6768474,0.9267,1,1,7303889,1
site,0,512,3072,2,209642,0.3883,0,0,539854,7
site,0,512,3072,9,39412,0.073,0,0,539854,7
site,0,512,3072,19,29354,0.0544,0,0,539854,7
site,0,512,3072,23,27699,0.0513,0,0,539854,7
site,0,512,3072,28,48678,0.0902,0,0,539854,7
site,0,512,3072,29,16967,0.0314,0,0,539854,7
site,0,512,3072,30,20670,0.0383,0,0,539854,7
site,0,1024,0,2,3132414,0.8696,2,2,3602044,1
site,0,1024,512,1,12148719,0.9469,1,1,12829953,1
site,0,1024,1536,1,2256778,0.2848,5,5,7924652,2
site,0,1024,1536,28,4681938,0.5908,1,1,7924652,2
site,0,1024,2048,4,2885481,0.3714,1,1,7769612,2
site,0,1024,2048,27,3908248,0.503,2,2,7769612,2
site,0,1024,2560,1,10599796,0.9395,1,1,11282502,1
site,0,1024,3072,1,4895967,0.9114,2,2,5371658,1
site,0,1024,3584,1,13849,0.1429,1,1,96930,13
site,0,1024,3584,5,5705,0.0589,0,0,96930,13
site,0,1024,3584,6,3554,0.0367,0,0,96930,13
site,0,1024,3584,7,4837,0.0499,0,0,96930,13
site,0,1024,3584,13,3522,0.0363,0,0,96930,13
site,0,1024,3584,14,5079,0.0524,0,0,96930,13
site,0,1024,3584,15,3508,0.0362,0,0,96930,13
site,0,1024,3584,16,4842,0.05,0,0,96930,13
site,0,1024,3584,17,7350,0.0758,1,1,96930,13
site,0,1024,3584,19,3434,0.0354,0,0,96930,13
site,0,1024,3584,20,4944,0.051,0,0,96930,13
site,0,1024,3584,24,7585,0.0783,0,0,96930,13
site,0,1024,3584,25,3379,0.0349,0,0,96930,13
site,0,1536,0,1,10217894,0.8904,3,3,11475177,2
site,0,1536,0,155,553370,0.0482,1,1,11475177,2
site,0,1536,3584,2,2926239,0.8582,2,2,3409608,2
site,0,1536,3584,55,257397,0.0755,1,1,3409608,2
site,0,2048,2048,2,11231889,0.948,1,1,11848202,1
site,0,2560,2560,1,10673279,0.9786,1,1,10907008,1
site,0,3584,1024,1,5011,0.0493,0,0,101677,7
site,0,3584,1024,2,9722,0.0956,0,0,101677,7
site,0,3584,1024,3,14398,0.1416,0,0,101677,7
site,0,3584,1024,5,15652,0.1539,0,0,101677,7
site,0,3584,1024,7,17744,0.1745,0,0,101677,7
site,0,3584,1024,8,17636,0.1735,0,0,101677,7
site,0,3584,1024,10,9953,0.0979,0,0,101677,7
site,0,3584,1536,5,107535,0.4231,0,0,254148,7
site,0,3584,1536,6,9643,0.0379,0,0,254148,7
site,0,3584,1536,8,11366,0.0447,0,0,254148,7
site,0,3584,1536,9,13181,0.0519,0,0,254148,7
site,0,3584,1536,14,13488,0.0531,0,0,254148,7
site,0,3584,1536,23,13302,0.0523,0,0,254148,7
site,0,3584,1536,25,20781,0.0818,1,1,254148,7
site,0,3584,2048,1,15863,0.08,1,1,198299,9
site,0,3584,2048,5,10573,0.0533,0,0,198299,9
site,0,3584,2048,8,5977,0.0301,0,0,198299,9
site,0,3584,2048,9,8906,0.0449,0,0,198299,9
site,0,3584,2048,14,6338,0.032,0,0,198299,9
site,0,3584,2048,21,33256,0.1677,0,0,198299,9
site,0,3584,2048,26,20587,0.1038,2,2,198299,9
site,0,3584,2048,27,11254,0.0568,0,0,198299,9
site,0,3584,2048,30,36773,0.1854,0,0,198299,9
site,0,3584,2560,1,3808,0.1626,0,0,23423,6
site,0,3584,2560,2,1626,0.0694,0,0,23423,6
site,0,3584,2560,3,1432,0.0611,0,0,23423,6
site,0,3584,2560,4,7845,0.3349,1,1,23423,6
site,0,3584,2560,5,2197,0.0938,0,0,23423,6
site,0,3584,2560,6,6515,0.2781,0,0,23423,6
site,128,1536,512,2,133497,0.0464,0,0,2879450,3
site,128,1536,512,5,1539275,0.5346,0,0,2879450,3
site,128,1536,512,9,665760,0.2312,1,1,2879450,3
