slab,tile,gz,gy,gx,lz,ly,lx,orig_id,assigned_A,assigned_B,thickness_ratio,confidence,tier,mega_size_frac,mega_size_vox,scorable,mass_context
z0,tile_y896_x1792,33,1049,2021,33,153,229,657,556,405,1.62,0.235,1,0.2848,2256778,1,1.254701645858262
z10080,tile_y1344_x0,10180,1480,404,100,136,404,746,660,632,4.75,0.422,1,0.2228,221558,1,0.9504178512966314
z10080,tile_y1344_x0,10189,1683,375,109,339,375,807,731,616,4.12,0.414,1,0.0892,268498,1,0.9935537116345468
z10080,tile_y1344_x1344,10145,1667,1757,65,323,413,1878,1919,1862,2.71,0.31,2,0.0371,349477,1,0.9241521647356817
z10080,tile_y1344_x1344,10210,1748,1749,130,404,405,2164,2112,2010,3.0,0.435,2,0.0562,529798,1,0.9152407269635455
z10080,tile_y1344_x1344,10230,1735,1746,150,391,402,2164,2194,1219,2.86,0.166,2,0.0562,529798,1,0.9278523917531027
z10080,tile_y1344_x1344,10234,1659,1683,154,315,339,2203,2174,2202,3.71,0.401,2,0.0371,349477,1,0.9224310924865726
z10080,tile_y1344_x1344,10278,1697,1715,198,353,371,2290,2292,2271,2.29,0.474,2,0.0548,492870,1,0.945306815425661
z10080,tile_y1344_x1344,10285,1692,1662,205,348,318,2276,2278,2203,3.0,0.364,2,0.0548,492870,1,0.9372209937836372
z10080,tile_y1344_x1344,10287,1704,1648,207,360,304,2273,2276,2302,2.86,0.316,2,0.0548,492870,1,0.9989995170082109
z10080,tile_y1344_x2240,10184,1780,2326,104,436,86,2178,2167,2126,4.57,0.448,2,0.1235,1240721,1,1.0586084493928696
z10080,tile_y1344_x2240,10187,1805,2335,107,461,95,2126,2189,2178,4.0,0.483,2,0.1235,1240721,1,1.0025773680744992
z10080,tile_y1344_x2240,10201,1813,2362,121,469,122,2219,2188,2227,3.14,0.322,2,0.1235,1240721,1,0.8648092405889606
z10080,tile_y1344_x2240,10205,1822,2359,125,478,119,2227,2189,2219,2.14,0.398,2,0.1235,1240721,1,0.8286397592303971
z10080,tile_y1344_x2240,10246,1647,2659,166,303,419,2279,903,2409,3.71,0.206,2,0.1126,1008438,1,0.8705917027461024
z10080,tile_y1344_x2240,10270,1666,2673,190,322,433,2452,2481,2279,2.43,0.431,2,0.1126,1008438,1,0.9272661884489026
z10080,tile_y1344_x2240,10271,1802,2680,191,458,440,2445,2341,2511,3.71,0.465,2,0.1126,1008438,1,0.985958485958486
z10080,tile_y1344_x2240,10281,1720,2701,201,376,461,2449,2543,2548,2.71,0.599,2,0.1126,1008438,1,0.9706089611838629
z10080,tile_y1344_x2688,10148,1763,2893,68,419,205,1078,1014,1001,7.0,0.487,1,0.0958,812422,1,0.9307038786772004
z10080,tile_y1344_x448,10280,1433,901,200,89,453,3345,3540,3743,3.4,0.18,1,0.1166,878547,1,0.9361273021431262
