slab,tile,gz,gy,gx,lz,ly,lx,orig_id,assigned_A,assigned_B,thickness_ratio,confidence,tier,decision
z0,tile_y1344_x0,70,1582,224,70,238,224,1205,1161,1120,1.81,0.354,1,SPLIT
z0,tile_y1344_x0,73,1697,367,73,353,367,1205,841,1015,1.67,0.255,1,SPLIT
z0,tile_y1344_x0,78,1611,238,78,267,238,1205,1163,1108,1.81,0.315,1,SPLIT
z0,tile_y1344_x1792,61,1480,2180,61,136,388,1893,1451,1025,1.75,0.211,1,SPLIT
z0,tile_y1344_x2240,60,1438,2297,60,94,57,1875,1856,1072,1.63,0.325,1,SPLIT
z0,tile_y1344_x2688,73,1525,3099,73,181,411,1498,971,769,1.75,0.224,1,SPLIT
z0,tile_y1344_x3136,75,1490,3206,75,146,70,1105,779,1060,1.88,0.265,1,SPLIT
z0,tile_y1344_x3584,69,1770,3630,69,426,46,208,186,207,1.7,0.378,1,SPLIT
z0,tile_y1344_x448,76,1524,595,76,180,147,2053,1645,1541,1.88,0.142,1,SPLIT
z0,tile_y1344_x448,219,1573,714,219,229,266,2456,2342,2346,1.65,0.46,1,SPLIT
z0,tile_y1792_x0,117,1890,280,117,98,280,1280,1385,1282,1.62,0.438,1,SPLIT
z0,tile_y1792_x2240,85,2146,2383,85,354,143,2322,2230,2175,1.77,0.103,1,SPLIT
z0,tile_y1792_x3584,79,1871,3738,79,79,154,461,487,464,1.65,0.188,1,SPLIT
z0,tile_y1792_x3584,112,1912,3699,112,120,115,500,516,504,1.62,0.433,1,SPLIT
z0,tile_y2688_x2240,51,2751,2613,51,63,373,1064,1295,449,1.71,0.357,1,SPLIT
z0,tile_y3584_x1344,74,3634,1495,74,50,151,3,20,2,4.14,0.507,1,SPLIT
z0,tile_y3584_x1344,74,3729,1734,74,145,390,20,14,19,5.71,0.185,1,SPLIT
z0,tile_y3584_x2240,74,3622,2599,74,38,359,22,23,6,2.57,0.492,1,SPLIT
z0,tile_y3584_x2240,74,3624,2395,74,40,155,7,20,15,5.86,0.323,1,SPLIT
z0,tile_y3584_x2240,74,3656,2496,74,72,256,24,26,20,3.57,0.454,1,SPLIT
z0,tile_y3584_x2240,74,3659,2404,74,75,164,25,30,15,4.71,0.503,1,SPLIT
z0,tile_y3584_x2240,74,3664,2420,74,80,180,30,14,25,3.71,0.448,1,SPLIT
z0,tile_y3584_x2240,74,3664,2443,74,80,203,14,20,26,4.57,0.329,1,SPLIT
z0,tile_y3584_x2240,75,3650,2365,75,66,125,13,27,15,4.0,0.396,1,SPLIT
z0,tile_y3584_x2240,75,3652,2377,75,68,137,15,30,27,4.57,0.32,1,SPLIT
z0,tile_y448_x0,82,914,442,82,466,442,6,2,5,3.2,0.362,1,SPLIT
z0,tile_y448_x2240,51,840,2633,51,392,393,1067,1033,1298,1.65,0.306,1,SPLIT
z0,tile_y448_x3136,73,904,3306,73,456,170,15,18,6,5.8,0.466,2,SPLIT
z0,tile_y448_x3136,74,907,3316,74,459,180,18,15,17,4.8,0.347,1,SPLIT
z0,tile_y448_x3136,77,859,3251,77,411,115,4,1,10,5.6,0.648,2,SPLIT
z0,tile_y448_x3136,77,893,3300,77,445,164,18,15,17,2.2,0.362,2,SPLIT
z0,tile_y896_x0,63,1296,445,63,400,445,223,172,241,1.62,0.544,1,SPLIT
z0,tile_y896_x0,80,1360,460,80,464,460,241,233,218,1.88,0.653,1,SPLIT
z0,tile_y896_x1344,39,1080,1623,39,184,279,696,937,860,1.88,0.463,1,SPLIT
z0,tile_y896_x1344,54,1319,1547,54,423,203,939,929,940,1.88,0.474,1,SPLIT
z0,tile_y896_x1344,61,1128,1770,61,232,426,892,925,933,1.85,0.382,1,SPLIT
z0,tile_y896_x1792,33,1049,2021,33,153,229,657,556,405,1.62,0.235,1,SPLIT
z0,tile_y896_x1792,50,1206,1929,50,310,137,604,665,765,1.88,0.413,1,SPLIT
z0,tile_y896_x1792,51,1045,1901,51,149,109,791,758,941,1.88,0.534,1,SPLIT
z0,tile_y896_x2240,45,1048,2492,45,152,252,673,998,635,1.88,0.456,1,SPLIT
z0,tile_y896_x2240,72,1334,2676,72,438,436,1154,1139,1105,1.62,0.425,1,SPLIT
z0,tile_y896_x3584,77,1256,3648,77,360,64,9,19,2,3.33,0.223,1,SPLIT
z0,tile_y896_x3584,79,1284,3643,79,388,59,1,22,19,2.67,0.116,1,SPLIT
z0,tile_y896_x3584,80,1214,3657,80,318,73,5,3,13,3.78,0.327,1,SPLIT
z0,tile_y896_x3584,81,1161,3620,81,265,36,15,8,17,3.11,0.334,1,SPLIT
z0,tile_y896_x3584,84,1311,3661,84,415,77,23,19,26,2.78,0.299,1,SPLIT
z10080,tile_y1344_x0,10180,1480,404,100,136,404,746,660,632,4.75,0.422,1,SPLIT
z10080,tile_y1344_x0,10185,1497,455,105,153,455,734,116,746,4.12,0.285,1,SPLIT
z10080,tile_y1344_x0,10189,1683,375,109,339,375,807,731,616,4.12,0.414,1,SPLIT
z10080,tile_y1344_x0,10198,1484,475,118,140,475,734,267,759,3.62,0.146,1,SPLIT
z10080,tile_y1344_x0,10198,1656,355,118,312,355,616,807,641,3.88,0.467,1,SPLIT
z10080,tile_y1344_x0,10204,1614,454,124,270,454,732,783,715,3.75,0.252,1,SPLIT
z10080,tile_y1344_x0,10232,1667,419,152,323,419,292,311,770,3.62,0.267,1,SPLIT
z10080,tile_y1344_x0,10283,1768,431,203,424,431,948,373,921,5.88,0.254,1,SPLIT
z10080,tile_y1344_x1344,10112,1703,1613,32,359,269,244,350,1750,2.14,0.214,2,SPLIT
z10080,tile_y1344_x1344,10113,1733,1585,33,389,241,1722,1854,1750,2.14,0.118,2,SPLIT
z10080,tile_y1344_x1344,10120,1410,1588,40,66,244,1777,1799,435,3.71,0.31,2,SPLIT
z10080,tile_y1344_x1344,10121,1593,1714,41,249,370,88,395,1237,2.57,0.164,2,SPLIT
z10080,tile_y1344_x1344,10122,1500,1755,42,156,411,1136,283,403,3.43,0.139,2,SPLIT
z10080,tile_y1344_x1344,10124,1748,1506,44,404,162,129,113,440,2.57,0.349,2,SPLIT
z10080,tile_y1344_x1344,10126,1572,1663,46,228,319,388,554,368,4.86,0.502,2,SPLIT
z10080,tile_y1344_x1344,10130,1803,1737,50,459,393,1940,1883,1829,4.0,0.439,2,SPLIT
z10080,tile_y1344_x1344,10132,1709,1714,52,365,370,371,99,531,3.71,0.122,2,SPLIT
z10080,tile_y1344_x1344,10133,1494,1759,53,150,415,1136,415,403,5.43,0.117,2,SPLIT
z10080,tile_y1344_x1344,10133,1591,1789,53,247,445,1237,550,445,3.0,0.334,2,SPLIT
z10080,tile_y1344_x1344,10134,1778,1773,54,434,429,470,1909,1915,2.29,0.164,2,SPLIT
z10080,tile_y1344_x1344,10137,1419,1503,57,75,159,1860,576,1874,5.29,0.47,2,SPLIT
z10080,tile_y1344_x1344,10137,1566,1458,57,222,114,580,561,527,3.0,0.182,2,SPLIT
z10080,tile_y1344_x1344,10137,1623,1747,57,279,403,88,429,732,2.0,0.218,2,SPLIT
z10080,tile_y1344_x1344,10141,1611,1563,61,267,219,509,82,589,2.14,0.318,2,SPLIT
z10080,tile_y1344_x1344,10143,1424,1602,63,80,258,1785,1988,1812,2.14,0.252,2,SPLIT
z10080,tile_y1344_x1344,10145,1391,1709,65,47,365,176,745,413,2.0,0.264,2,SPLIT
z10080,tile_y1344_x1344,10145,1667,1757,65,323,413,1878,1919,1862,2.71,0.31,2,SPLIT
z10080,tile_y1344_x1344,10147,1817,1735,67,473,391,1975,1883,1933,4.86,0.448,1,SPLIT
z10080,tile_y1344_x1344,10151,1421,1376,71,77,32,26,649,450,4.43,0.149,1,SPLIT
z10080,tile_y1344_x1344,10151,1548,1538,71,204,194,64,692,579,3.0,0.157,2,SPLIT
z10080,tile_y1344_x1344,10153,1804,1753,73,460,409,1975,1909,1883,3.71,0.323,2,SPLIT
z10080,tile_y1344_x1344,10159,1602,1397,79,258,53,527,611,682,2.71,0.173,2,SPLIT
z10080,tile_y1344_x1344,10163,1767,1662,83,423,318,1943,1913,2033,7.0,0.216,1,SPLIT
z10080,tile_y1344_x1344,10170,1479,1642,90,135,298,859,2012,2003,2.86,0.295,2,SPLIT
z10080,tile_y1344_x1344,10171,1468,1554,91,124,210,2006,1990,1978,3.71,0.347,2,SPLIT
z10080,tile_y1344_x1344,10176,1487,1505,96,143,161,2049,2053,2031,3.0,0.411,2,SPLIT
z10080,tile_y1344_x1344,10177,1512,1670,97,168,326,756,2042,2041,4.71,0.13,1,SPLIT
