site_row,kind,slab,tile,gz,gy,gx,tier,in_bounds,was_mega,mega_size_frac,mega_size_vox
13335,flagged,z9856,tile_y1344_x2240,9894,1712,2603,2,1,1,0.1573,1441681
13335,control,z9856,tile_y1344_x2240,9894,1742,2603,2,1,0,0.0,0
13337,flagged,z9856,tile_y1344_x2240,9895,1618,2644,2,1,1,0.1573,1441681
13337,control,z9856,tile_y1344_x2240,9895,1648,2644,2,1,1,0.1573,1441681
13338,flagged,z9856,tile_y1344_x2240,9895,1745,2630,2,1,0,0.0,0
13338,control,z9856,tile_y1344_x2240,9895,1775,2630,2,1,0,0.0,0
13340,flagged,z9856,tile_y1344_x2240,9896,1627,2644,1,1,1,0.1573,1441681
13340,control,z9856,tile_y1344_x2240,9896,1657,2644,1,1,1,0.1573,1441681
13341,flagged,z9856,tile_y1344_x2240,9896,1639,2677,2,1,1,0.1573,1441681
13341,control,z9856,tile_y1344_x2240,9896,1669,2677,2,1,1,0.1573,1441681
13345,flagged,z9856,tile_y1344_x2240,9900,1578,2568,2,1,1,0.1573,1441681
13345,control,z9856,tile_y1344_x2240,9900,1608,2568,2,1,0,0.0,0
13347,flagged,z9856,tile_y1344_x2240,9901,1639,2602,2,1,1,0.1573,1441681
13347,control,z9856,tile_y1344_x2240,9901,1669,2602,2,1,1,0.1573,1441681
13349,flagged,z9856,tile_y1344_x2240,9905,1647,2569,2,1,1,0.1573,1441681
13349,control,z9856,tile_y1344_x2240,9905,1677,2569,2,1,0,0.0,0
13350,flagged,z9856,tile_y1344_x2240,9907,1550,2598,2,1,1,0.1573,1441681
13350,control,z9856,tile_y1344_x2240,9907,1580,2598,2,1,0,0.0,0
13351,flagged,z9856,tile_y1344_x2240,9907,1557,2617,2,1,1,0.1573,1441681
13351,control,z9856,tile_y1344_x2240,9907,1587,2617,2,1,1,0.1573,1441681
13352,flagged,z9856,tile_y1344_x2240,9908,1565,2646,2,1,1,0.1573,1441681
13352,control,z9856,tile_y1344_x2240,9908,1595,2646,2,1,1,0.1573,1441681
13357,flagged,z9856,tile_y1344_x2240,9921,1597,2595,2,1,1,0.1573,1441681
13357,control,z9856,tile_y1344_x2240,9921,1627,2595,2,1,1,0.1573,1441681
13358,flagged,z9856,tile_y1344_x2240,9922,1672,2712,2,1,1,0.1573,1441681
13358,control,z9856,tile_y1344_x2240,9922,1702,2712,2,1,0,0.0,0
13361,flagged,z9856,tile_y1344_x2240,9924,1626,2605,1,1,1,0.1573,1441681
13361,control,z9856,tile_y1344_x2240,9924,1656,2605,1,1,1,0.1573,1441681
13363,flagged,z9856,tile_y1344_x2240,9926,1634,2591,2,1,1,0.1573,1441681
13363,control,z9856,tile_y1344_x2240,9926,1664,2591,2,1,0,0.0,0
13366,flagged,z9856,tile_y1344_x2240,9930,1591,2642,2,1,0,0.0,0
13366,control,z9856,tile_y1344_x2240,9930,1621,2642,2,1,0,0.0,0
13368,flagged,z9856,tile_y1344_x2240,9930,1793,2679,2,1,0,0.0,0
13368,control,z9856,tile_y1344_x2240,9930,1823,2679,2,1,0,0.0,0
13369,flagged,z9856,tile_y1344_x2240,9933,1609,2584,2,1,1,0.1573,1441681
13369,control,z9856,tile_y1344_x2240,9933,1639,2584,2,1,0,0.0,0
13370,flagged,z9856,tile_y1344_x2240,9933,1680,2615,2,1,1,0.1573,1441681
13370,control,z9856,tile_y1344_x2240,9933,1710,2615,2,1,0,0.0,0
13373,flagged,z9856,tile_y1344_x2240,9936,1766,2585,2,1,0,0.0,0
13373,control,z9856,tile_y1344_x2240,9936,1796,2585,2,1,0,0.0,0
13374,flagged,z9856,tile_y1344_x2240,9941,1758,2713,2,1,0,0.0,0
13374,control,z9856,tile_y1344_x2240,9941,1788,2713,2,1,0,0.0,0
13376,flagged,z9856,tile_y1344_x2240,9943,1669,2597,2,1,0,0.0,0
13376,control,z9856,tile_y1344_x2240,9943,1699,2597,2,1,0,0.0,0
13379,flagged,z9856,tile_y1344_x2240,9946,1771,2583,1,1,0,0.0,0
13379,control,z9856,tile_y1344_x2240,9946,1801,2583,1,1,0,0.0,0
13380,flagged,z9856,tile_y1344_x2240,9950,1698,2660,2,1,1,0.1573,1441681
13380,control,z9856,tile_y1344_x2240,9950,1728,2660,2,1,0,0.0,0
13383,flagged,z9856,tile_y1344_x2240,9955,1768,2582,2,1,0,0.0,0
13383,control,z9856,tile_y1344_x2240,9955,1798,2582,2,1,0,0.0,0
13386,flagged,z9856,tile_y1344_x2240,9978,1736,2636,2,1,0,0.0,0
