slab,tile,gz,gy,gx,lz,ly,lx,orig_id,assigned_A,assigned_B,thickness_ratio,confidence,tier,decision,scorable,predicted_agreement,mass_context
z0,tile_y0_x2240,74,415,2283,74,415,43,94,3,8,1.88,0.244,3,SPLIT,0,,
z0,tile_y1344_x0,80,1636,304,80,292,304,1205,1081,1142,1.7,0.193,3,SPLIT,1,0.9515,1.8223
z0,tile_y1344_x0,114,1686,467,114,342,467,1218,1250,1254,1.81,0.332,3,SPLIT,1,0.9091,1.1234
z0,tile_y1344_x0,177,1705,468,177,361,468,1327,1344,1218,1.7,0.484,3,SPLIT,1,0.9561,1.8344
z0,tile_y1344_x2688,72,1776,3156,72,432,468,1495,940,942,1.81,0.171,3,SPLIT,1,0.9233,1.8157
z0,tile_y1344_x3584,70,1763,3674,70,419,90,223,212,209,1.61,0.299,3,SPLIT,1,0.894,1.8728
z0,tile_y1344_x448,137,1618,545,137,274,97,2124,2157,2128,1.77,0.523,3,SPLIT,1,0.9703,1.2261
z0,tile_y1344_x896,78,1516,1094,78,172,198,2027,2008,2022,1.81,0.3,3,SPLIT,1,0.9324,1.3599
z0,tile_y1792_x0,218,1896,364,218,104,364,1580,1558,1614,1.77,0.113,3,SPLIT,1,0.7653,1.0694
z0,tile_y1792_x2240,68,2101,2578,68,309,338,1980,1806,2000,1.88,0.442,3,SPLIT,1,0.9426,1.8236
z0,tile_y1792_x2240,75,2215,2558,75,423,318,2197,2291,2284,1.73,0.217,3,SPLIT,1,0.4511,0.9632
z0,tile_y1792_x2688,67,2066,3001,67,274,313,2064,1361,1803,1.62,0.28,3,SPLIT,1,0.9511,1.9287
z0,tile_y1792_x2688,71,2130,3011,71,338,323,2064,1433,1906,1.88,0.407,3,SPLIT,1,0.964,1.8279
z0,tile_y1792_x3584,218,1870,3622,218,78,38,620,621,654,1.81,0.257,3,SPLIT,1,0.9332,1.4793
z0,tile_y2240_x0,65,2388,310,65,148,310,6,15,11,1.88,0.546,3,SPLIT,0,,
z0,tile_y3136_x2688,71,3221,2795,71,85,107,3,2,5,2.14,0.533,3,SPLIT,0,,
z0,tile_y3136_x2688,74,3439,2735,74,303,47,69,73,9,2.86,0.349,3,SPLIT,0,,
z0,tile_y3584_x1344,74,3676,1780,74,92,436,20,4,7,2.14,0.453,3,SPLIT,0,,
z0,tile_y3584_x1344,76,3637,1479,76,53,135,3,2,20,1.86,0.439,3,SPLIT,0,,
z0,tile_y3584_x1792,74,3637,2034,74,53,242,18,12,33,1.67,0.309,3,SPLIT,0,,
z0,tile_y3584_x1792,74,3639,2261,74,55,469,33,16,17,2.33,0.275,3,SPLIT,0,,
z0,tile_y3584_x1792,74,3700,2016,74,116,224,25,23,33,3.56,0.542,3,SPLIT,0,,
z0,tile_y3584_x1792,74,3723,2249,74,139,457,38,37,33,1.89,0.335,3,SPLIT,0,,
z0,tile_y3584_x1792,75,3711,2266,75,127,474,28,37,33,3.56,0.298,3,SPLIT,0,,
z0,tile_y3584_x2240,74,3627,2367,74,43,127,12,7,15,2.71,0.556,3,SPLIT,0,,
z0,tile_y3584_x2240,74,3633,2282,74,49,42,11,5,31,2.86,0.366,3,SPLIT,0,,
z0,tile_y3584_x2240,74,3638,2529,74,54,289,23,21,24,1.71,0.411,3,SPLIT,0,,
z0,tile_y3584_x2240,74,3651,2470,74,67,230,20,29,14,1.86,0.373,3,SPLIT,0,,
z0,tile_y3584_x2240,74,3661,2380,74,77,140,30,15,25,4.29,0.422,3,SPLIT,0,,
z0,tile_y3584_x2240,74,3677,2411,74,93,171,30,25,28,4.57,0.484,3,SPLIT,0,,
z0,tile_y3584_x2240,75,3664,2467,75,80,227,29,20,26,4.29,0.404,3,SPLIT,1,0.3007,0.931
z0,tile_y448_x0,80,915,463,80,467,463,6,7,5,1.8,0.427,3,SPLIT,1,0.0822,0.6948
z0,tile_y448_x1344,48,900,1607,48,452,263,1451,1074,1045,1.69,0.255,3,SPLIT,1,0.8987,1.0931
z0,tile_y448_x2688,56,814,2758,56,366,70,457,400,492,1.77,0.466,3,SPLIT,1,0.9476,1.4748
z0,tile_y448_x3136,76,876,3258,76,428,122,4,1,11,5.2,0.214,3,SPLIT,0,,
z0,tile_y448_x3136,77,901,3308,77,453,172,18,17,6,4.4,0.325,3,SPLIT,1,0.3676,0.8351
z0,tile_y448_x3136,78,900,3289,78,452,153,6,17,2,3.4,0.406,3,SPLIT,0,,
z0,tile_y448_x3136,79,836,3245,79,388,109,10,9,17,4.4,0.532,3,SPLIT,0,,
z0,tile_y448_x448,49,858,800,49,410,352,190,281,245,1.62,0.27,3,SPLIT,1,0.9411,2.0054
z0,tile_y896_x0,77,1345,471,77,449,471,241,218,195,1.88,0.461,3,SPLIT,1,0.948,2.3027
z0,tile_y896_x1344,44,1119,1735,44,223,391,798,861,855,1.62,0.426,3,SPLIT,1,0.9671,1.5541
z0,tile_y896_x1344,56,1107,1457,56,211,113,526,883,377,1.88,0.227,3,SPLIT,1,0.9551,1.5946
z0,tile_y896_x1344,59,1296,1616,59,400,272,939,813,825,1.65,0.379,3,SPLIT,1,0.9778,1.6996
z0,tile_y896_x1792,37,996,2083,37,100,291,678,907,549,1.77,0.413,3,SPLIT,1,0.9658,1.4225
z0,tile_y896_x1792,43,1246,1860,43,350,68,716,551,605,1.88,0.475,3,SPLIT,1,0.9656,1.4372
z0,tile_y896_x1792,47,1081,1829,47,185,37,965,953,691,1.73,0.639,3,SPLIT,1,0.9658,1.3207
z0,tile_y896_x1792,49,1370,2132,49,474,340,806,670,856,1.88,0.397,3,SPLIT,1,0.9227,1.2872
z0,tile_y896_x2240,61,1375,2539,61,479,299,1130,1047,972,1.65,0.337,3,SPLIT,1,0.9727,2.1592
z0,tile_y896_x3136,58,1228,3180,58,332,44,386,401,381,1.88,0.284,3,SPLIT,1,0.7701,1.0299
z0,tile_y896_x3136,59,1147,3178,59,251,42,366,397,344,1.65,0.355,3,SPLIT,1,0.9697,1.3984
z0,tile_y896_x3584,81,1182,3638,81,286,54,15,13,16,2.78,0.296,3,SPLIT,0,,
z0,tile_y896_x3584,84,1353,3685,84,457,101,23,24,4,2.0,0.361,3,SPLIT,0,,
z0,tile_y896_x448,72,1334,577,72,438,129,1346,1279,1183,1.67,0.478,3,SPLIT,1,0.9552,1.4663
z0,tile_y896_x448,74,1242,755,74,346,307,1254,1138,1237,1.81,0.4,3,SPLIT,1,0.9477,1.6626
z0,tile_y896_x896,56,1007,1070,56,111,174,804,1211,413,1.7,0.327,3,SPLIT,0,,
z10080,tile_y1344_x0,10112,1610,376,32,266,376,567,491,501,3.38,0.358,3,SPLIT,1,0.8142,0.9786
z10080,tile_y1344_x0,10115,1639,376,35,295,376,561,491,530,4.0,0.429,3,SPLIT,1,0.8623,1.0527
