z,theta_deg,counted,pitch_ref_um,ratio_naive,ratio_va,void_fraction,n_fragment,n_ambiguous
16,0.0,83.0,259.2000000000008,0.6470897863547378,0.801929377909818,0.24174611595301246,17,9
16,6.0,72.0,358.5499999999988,0.8499256764431335,0.8499256764431335,0.0,14,5
16,12.0,71.0,276.5,0.7098279982788981,0.7980868518834713,0.14200042366381552,12,6
16,18.0,80.0,207.3999999999998,0.6117768518859917,0.7454733342319263,0.21925717852684148,12,13
16,24.0,76.0,250.5,0.738430747390591,0.8647975870339415,0.17699128908942793,16,7
16,30.0,59.0,293.6999999999989,0.693495391585188,0.7204006036493319,0.04968574344353902,10,12
16,36.0,67.0,241.89999999999964,0.6432923319957282,0.7488437423474443,0.18109680832304698,9,10
16,42.0,50.0,384.4499999999998,0.7479673847698312,1.150386604107818,0.4310572304386297,18,0
16,48.0,47.0,341.3000000000002,0.611026675351488,0.7963096260480637,0.288429031237216,4,6
16,54.0,49.0,462.25,0.8757493567276333,0.8757493567276333,0.0,10,3
16,60.0,54.0,449.2999999999993,0.9372928368887465,0.9372928368887465,0.0,15,3
16,66.0,76.0,267.8999999999978,0.7836770513382999,0.8590994822719207,0.10954508861379787,12,3
16,72.0,60.0,440.59999999999854,1.0175323800542682,1.0175323800542682,0.0,15,1
16,78.0,62.0,345.60000000000014,0.8344542625817334,0.8344542625817334,0.0,8,2
16,84.0,67.0,306.75,0.801862223548759,0.8337592950941375,0.05083340243801307,10,5
16,90.0,43.0,475.1999999999998,0.7936241610738253,0.7936241610738253,0.0,6,4
16,96.0,50.0,483.8000000000002,0.9191637471786731,0.9191637471786731,0.0,12,2
16,102.0,39.0,617.7500000000005,0.9590577510623696,0.9590577510623696,0.0,9,1
16,108.0,43.0,518.4000000000015,0.8456256686114907,0.8456256686114907,0.0,4,2
16,114.0,47.0,535.6999999999998,0.9554455069823917,0.955445506982392,0.0,10,1
16,120.0,53.0,406.09999999999945,0.8167615361262893,0.8587130853873581,0.06527042808304974,13,5
