window_z,date,wall_s,series,n_seeds,seeds_fractions,rel_pct,rel_n,rel_total,same_pct,same_n,same_total,dr_L1_zm200,dr_L1_c,dr_L1_zp200,loss_final,verdict
9700-10500,2026-07-24,496.2,single-seed@3fd238c,1,z4928:100.0,96.8,970,1002,97.8,630,644,10.17,10.28,9.92,1-2,PASS (gate reference)
9060-9860,2026-07-24,519.4,multi-seed@7116a75,2,z4480:96.4;z4704:84.0,96.8,923,954,98.7,299,303,10.16,9.64,10.06,0.9-3.9,PASS-with-note (reclassified 24/07)
8420-9220,2026-07-24,504.4,multi-seed@7116a75,3,z4480:87.5;z4032:63.6;z4256:10.0,96.1,1226,1276,96.1,197,205,9.96,10.36,10.28,2.2-3.6,PASS-with-note (reclassified 24/07)
7780-8580,2026-07-24,497.0,multi-seed@7116a75,3,z3808:100.0;z4032:78.1;z4256:66.7,97.2,1102,1134,97.3,293,301,10.00,10.13,10.10,1.5-3.5,PASS
7140-7940,2026-07-24,501.3,multi-seed@7116a75,3,z3360:100.0;z3584:98.0;z3808:97.2,95.7,1030,1076,95.8,207,216,10.34,10.06,10.13,2.5-3.6,full PASS
6500-7300,2026-07-24,493.7,multi-seed@7116a75,3,z3360:98.5;z3136:93.5;z3584:88.9,96.9,1056,1090,97.4,37,38,9.83,10.07,10.04,2.2-2.7,PASS
5860-6660,2026-07-24,507.3,multi-seed@7116a75,2,z2912:97.0;z3136:95.7,96.5,955,990,92.1,58,63,10.03,10.12,9.98,~2.8,PASS
5220-6020,2026-07-24,495.1,multi-seed@7116a75,3,z2912:96.7;z2464:91.9;z2688:73.0,96.6,1236,1280,93.3,181,194,9.99,10.01,10.27,2-3,PASS
4580-5380,2026-07-24,520.5,multi-seed@7116a75,1,z2464:98.9,96.2,877,912,96.8,272,281,10.03,10.17,10.29,2-3,full PASS
3940-4740,2026-07-24,511.8,multi-seed@7116a75,1,z1792:87.5,95.6,1174,1228,99.1,218,220,10.42,10.00,10.05,n/r,PASS
3300-4100,2026-07-24,520.3,multi-seed@7116a75,2,z1568:90.9;z1792:62.5,96.8,1199,1238,100.0,121,121,10.08,9.85,9.77,1.1-3.0,PASS
2660-3460,2026-07-24,506.7,multi-seed@7116a75,3,z1568:90.7;z1344:84.4;z1120:50.0,98.4,974,990,100.0,96,96,10.23,9.48,10.03,2.6-4.0,PASS
2020-2820,2026-07-24,504.6,multi-seed@7116a75,3,z1120:79.1;z1344:77.8;z896:62.2,97.1,598,616,97.4,75,77,10.21,10.08,10.36,2.4-3.1,PASS
1380-2180,2026-07-24,505.8,multi-seed@7116a75,2,z896:76.4;z672:56.8,n/a,0,0,100.0,14,14,10.28,9.54,10.14,0.2-0.6,PROVISIONAL (tip: rel constraints collapse)
15680-16480,2026-07-24,511.0,multi-seed@7116a75,1,z7840:100.0,98.7,1145,1160,97.5,198,203,10.34,10.23,10.07,0.8-2.3,full PASS
16320-17120,2026-07-24,509.4,multi-seed@7116a75,1,z8288:100.0,97.2,1042,1072,98.5,132,134,10.43,10.01,9.99,0.6-0.7,full PASS
16960-17760,2026-07-24,490.1,multi-seed@7116a75,1,z8288:100.0,98.7,807,818,100.0,11,11,9.81,10.18,9.89,0.1-0.7,full PASS
17600-18400,2026-07-24,435.8,multi-seed@7116a75,0,none,98.5,829,842,100.0,57,57,10.15,10.13,10.11,0.4-1.4,PROVISIONAL (intra-band anchor gap; zero-patch fit)
18240-19040,2026-07-24,482.7,multi-seed@7116a75,2,z9408:100.0;z9184:10.5,96.8,1181,1220,95.8,113,118,10.05,10.43,9.87,1.7-7.2,PASS
18880-19680,2026-07-24,475.0,multi-seed@7116a75,2,z9408:95.8;z9632:68.0,96.8,1032,1066,100.0,118,118,10.19,9.96,10.35,1.3-2.0,PASS
19520-20320,2026-07-24,499.9,multi-seed@7116a75,2,z10080:100.0;z9632:80.0,97.7,1139,1166,94.9,240,253,10.27,10.54,10.25,2.4-3.9,PASS
20160-20960,2026-07-24,511.9,multi-seed@7116a75,2,z10080:100.0;z10304:100.0,97.0,978,1008,96.6,340,352,10.64,10.37,10.23,4.2-5.7,full PASS
